id,type,date_created,date_created_full,reply_count,retweet_count,like_count,media,full_text,link
1763213938605605280,tweet,2024-02-29,Thu Feb 29 14:45:36 +0000 2024,160,122,1275,,ずーっといっしょにいてくれてありがとう♡またね,https://x.com/harada_suzuka/status/1763213938605605280
1763198128038330754,tweet,2024-02-29,Thu Feb 29 13:42:47 +0000 2024,3,12,117,,"原田珠々華【虹のコンキスタドール】さんが配信しているよ！- 
 

マイイベありません",https://x.com/harada_suzuka/status/1763198128038330754
1763197552512626824,tweet,2024-02-29,Thu Feb 29 13:40:29 +0000 2024,5,5,127,,マルシェ終わった！配信やる！,https://x.com/harada_suzuka/status/1763197552512626824
1763186036321272221,tweet,2024-02-29,Thu Feb 29 12:54:44 +0000 2024,9,7,128,,ボイスマルシェ納品してからにするので22:30からにしますごめんなさい🙇🏻‍♀️💦,https://x.com/harada_suzuka/status/1763186036321272221
1763183949982118088,tweet,2024-02-29,Thu Feb 29 12:46:26 +0000 2024,1,12,93,,"原田珠々華【虹のコンキスタドール】さんが投稿したよ！チェックしに行こう！
 

最後のFC投稿更新です❕",https://x.com/harada_suzuka/status/1763183949982118088
1763165349724451162,tweet,2024-02-29,Thu Feb 29 11:32:32 +0000 2024,14,23,487,"https://pbs.twimg.com/media/GHgFgdMaAAA_lb-.jpg
https://pbs.twimg.com/media/GHgFgdKagAA239v.jpg",ご馳走様でした ,https://x.com/harada_suzuka/status/1763165349724451162
1763030794363355502,tweet,2024-02-29,Thu Feb 29 02:37:51 +0000 2024,44,81,608,,"おはよう！今日でこのアカウント終了になります🥹

22時から配信するね😴",https://x.com/harada_suzuka/status/1763030794363355502
1762848427141165180,tweet,2024-02-28,Wed Feb 28 14:33:11 +0000 2024,21,7,195,,"天才やさんでした👶🏻
見守っててくれてありがとう🥹",https://x.com/harada_suzuka/status/1762848427141165180
1762795267617898853,tweet,2024-02-28,Wed Feb 28 11:01:57 +0000 2024,0,5,84,,"原田珠々華【虹のコンキスタドール】さんが配信しているよ！- 
 
はじめましたマルシェかきます",https://x.com/harada_suzuka/status/1762795267617898853
1762793162358366429,tweet,2024-02-28,Wed Feb 28 10:53:35 +0000 2024,5,8,163,,マルシェ誰かに監視されてないと一生終わらなそうなので配信しながらやってみてもいいですか😭😭,https://x.com/harada_suzuka/status/1762793162358366429
1762088970220138766,tweet,2024-02-26,Mon Feb 26 12:15:23 +0000 2024,10,15,167,,こちら販売開始してます〜！ぜひ！🫶🏻,https://x.com/harada_suzuka/status/1762088970220138766
1762080639141155032,tweet,2024-02-26,Mon Feb 26 11:42:16 +0000 2024,20,9,268,,外から帰ってきて家最高ってなるの1番幸せ感じる,https://x.com/harada_suzuka/status/1762080639141155032
