id,type,date_created,date_created_full,reply_count,retweet_count,like_count,media,full_text,link
1752699967142277297,tweet,2024-01-31,Wed Jan 31 14:26:50 +0000 2024,134,177,1962,,"これが最後のツイートになります！

あーー！！
りえないほどずっとたのしかったー
ガチで
とんでもなく
うれしいこといっぱい
だった
いきててよかった
すえながく
キラキラする予定です

じゃあ、バイバイ！",https://x.com/otsuka__miyu/status/1752699967142277297
1752697434768351719,tweet,2024-01-31,Wed Jan 31 14:16:46 +0000 2024,1,13,265,,"私の人生を変えた曲です。
大好きな子たちの歌声で、
この先もずっとずっと響き渡っていきますように",https://x.com/otsuka__miyu/status/1752697434768351719
1752696819136774635,reply,2024-01-31,Wed Jan 31 14:14:19 +0000 2024,0,0,32,,@iwasaka_yuuri ゆうりちゃん、これからもとらのことずっと好きでいてね！！！だいすき！,https://x.com/otsuka__miyu/status/1752696819136774635
1752695558874263713,reply,2024-01-31,Wed Jan 31 14:09:19 +0000 2024,0,0,57,,@kanda__juna たのしかったねえー,https://x.com/otsuka__miyu/status/1752695558874263713
1752695025488806028,tweet,2024-01-31,Wed Jan 31 14:07:12 +0000 2024,8,49,640,"https://video.twimg.com/ext_tw_video/1752694962502946816/pr/vid/avc1/1280x590/EWbKVr7-xP5VL5jf.mp4
https://video.twimg.com/ext_tw_video/1752694962427461632/pr/vid/avc1/1280x590/0qnHz1C62q07HUEa.mp4
https://video.twimg.com/ext_tw_video/1752694962410717184/pr/vid/avc1/1280x590/kEdjJDPznDiGJ-N8.mp4",大切にしていたフレーズのはじめましてとまたあえたねとさよならです ,https://x.com/otsuka__miyu/status/1752695025488806028
1752693668002377755,reply,2024-01-31,Wed Jan 31 14:01:48 +0000 2024,0,14,351,https://pbs.twimg.com/media/GFLRmWcbsAAhCPm.jpg,,https://x.com/otsuka__miyu/status/1752693668002377755
1752693568324673996,tweet,2024-01-31,Wed Jan 31 14:01:24 +0000 2024,2,29,458,"https://pbs.twimg.com/media/GFLRZQzbcAAMp9-.jpg
https://pbs.twimg.com/media/GFLRZQ1bYAAIWsF.jpg
https://video.twimg.com/ext_tw_video/1752693436933931008/pr/vid/avc1/1280x590/XJHvNL_IMEHFlXVS.mp4
https://video.twimg.com/ext_tw_video/1752693436950704128/pr/vid/avc1/1280x590/lSwa4IrPVR9EsF8A.mp4",,https://x.com/otsuka__miyu/status/1752693568324673996
1752690808632033652,tweet,2024-01-31,Wed Jan 31 13:50:26 +0000 2024,4,53,710,"https://pbs.twimg.com/media/GFLOyUKboAAEwma.jpg
https://video.twimg.com/ext_tw_video/1752690568914956288/pr/vid/avc1/1280x590/3Ew5m99jOM9TGhM5.mp4
https://video.twimg.com/ext_tw_video/1752690568822726656/pr/vid/avc1/1280x720/YveuDpnk2sGtKqz0.mp4
https://video.twimg.com/ext_tw_video/1752690568801734656/pr/vid/avc1/1280x590/Jo-i1n9YhIL1-vC4.mp4","あおちゃん
ずーっと言いたかったけど今言うね
ありがとう ",https://x.com/otsuka__miyu/status/1752690808632033652
1752689496666312961,tweet,2024-01-31,Wed Jan 31 13:45:14 +0000 2024,1,17,422,"https://pbs.twimg.com/media/GFLNvywbIAAmCKP.jpg
https://video.twimg.com/ext_tw_video/1752689425958772736/pr/vid/avc1/1280x590/qKaQv5CBYTUdvpIw.mp4",,https://x.com/otsuka__miyu/status/1752689496666312961
1752686660402417825,tweet,2024-01-31,Wed Jan 31 13:33:57 +0000 2024,2,21,506,"https://pbs.twimg.com/media/GFLLOLJbEAE9xhk.jpg
https://pbs.twimg.com/media/GFLLOLJbEAAwxHy.jpg
https://pbs.twimg.com/media/GFLLOLJbcAA-Qtn.jpg
https://pbs.twimg.com/media/GFLLOLJbwAAYLWa.jpg",,https://x.com/otsuka__miyu/status/1752686660402417825
1752686193182151008,tweet,2024-01-31,Wed Jan 31 13:32:06 +0000 2024,3,19,491,"https://pbs.twimg.com/media/GFLKy9obAAE_DBf.jpg
https://pbs.twimg.com/media/GFLKy9laAAA4Wic.jpg",,https://x.com/otsuka__miyu/status/1752686193182151008
1752685972251427292,tweet,2024-01-31,Wed Jan 31 13:31:13 +0000 2024,0,24,408,"https://pbs.twimg.com/media/GFLKmJ4aoAAwtuO.jpg
https://pbs.twimg.com/media/GFLKmJybwAAVSTy.jpg
https://pbs.twimg.com/media/GFLKmJ0bsAA4WSd.jpg
https://pbs.twimg.com/media/GFLKmJ2a4AAfaCN.jpg",,https://x.com/otsuka__miyu/status/1752685972251427292
1752685673176580433,tweet,2024-01-31,Wed Jan 31 13:30:02 +0000 2024,2,13,337,"https://pbs.twimg.com/media/GFLKUv_bAAAU7uE.jpg
https://pbs.twimg.com/media/GFLKUwBbMAAEHBw.jpg
https://pbs.twimg.com/media/GFLKUwAbQAAZ6Fa.jpg
https://pbs.twimg.com/media/GFLKUwAbcAAqObl.jpg",,https://x.com/otsuka__miyu/status/1752685673176580433
1752685527135035528,tweet,2024-01-31,Wed Jan 31 13:29:27 +0000 2024,0,14,328,"https://pbs.twimg.com/media/GFLKMTkaEAACY-6.jpg
https://pbs.twimg.com/media/GFLKMTqacAAEdLF.jpg
https://pbs.twimg.com/media/GFLKMTmaQAA8bS6.jpg
https://pbs.twimg.com/media/GFLKMTkacAAJmlV.jpg",,https://x.com/otsuka__miyu/status/1752685527135035528
