id,type,date_created,date_created_full,reply_count,retweet_count,like_count,media,full_text,link
1377621142157017098,tweet,2021-04-01,Thu Apr 01 13:57:29 +0000 2021,229,357,1892,https://pbs.twimg.com/media/Ex5LHbdXIAQMbGd.jpg,"皆さんこんばんは!!

これが私の最後のツイートなります
今まで本当にありがとうございました！
皆さん大好きです〜🐈
虹コン楽しすぎたな!! ",https://x.com/yamamoto__rio/status/1377621142157017098
1374375439200780296,tweet,2021-03-23,Tue Mar 23 15:00:14 +0000 2021,19,92,971,"https://pbs.twimg.com/media/ExLDKdKVkAMQtZN.jpg
https://pbs.twimg.com/media/ExLDKdMU8Ac7DvS.jpg","フラワースタンドとても豪華で！
メッセージカードもたくさん！
本当にありがとうね!!嬉しい!!

ブログ書いたのだけど、めちゃくちゃ長くなってしまったので
読んでくれる方は心してくれ…！ ",https://x.com/yamamoto__rio/status/1374375439200780296
1374373946519285770,reply,2021-03-23,Tue Mar 23 14:54:18 +0000 2021,0,1,150,,"@yamasaki_nana なな先輩ー！
ありがとうございます！
お互い頑張っていきましょうね！
遊びに行きましょ！",https://x.com/yamamoto__rio/status/1374373946519285770
1374372958085378055,reply,2021-03-23,Tue Mar 23 14:50:22 +0000 2021,0,0,5,,"@yasuemion_0122 美音さん！ありがとうございます！
お会いする機会もお話する機会もなかなかありませんでしたが、ありがとうございました！
そうですね！またどこかで会えますように!!",https://x.com/yamamoto__rio/status/1374372958085378055
1374352409074438145,tweet,2021-03-23,Tue Mar 23 13:28:43 +0000 2021,134,221,1371,"https://pbs.twimg.com/media/ExKuODfVEAUufdd.jpg
https://pbs.twimg.com/media/ExKuODhVIAU_Ro4.jpg","『RIONYAN QUEST〜最終章 最後のフフフ〜』
ありがとうございました!!

とても楽しかったー！
未だ終わってしまった感じがしないw
でも本当に私は幸せ者だなと思いました！
本当にありがとうね！
ブログ書きます！ ",https://x.com/yamamoto__rio/status/1374352409074438145
1374347664280547333,reply,2021-03-23,Tue Mar 23 13:09:51 +0000 2021,1,5,256,,"@nemoto_nagi ねも先輩もでんぱさんに入られて
私も同じ境遇でダンス覚えるのは大変だけど頑張らなきゃだよ
って言っていただきシャキッとしなきゃなって思えました🙏",https://x.com/yamamoto__rio/status/1374347664280547333
1374346977178054658,reply,2021-03-23,Tue Mar 23 13:07:08 +0000 2021,2,5,220,,"@hiruta_airi 楽屋で驚かせてごめんね、手紙飛ばしちゃってごめんね、
あいり先輩と同い年でよかったー！
一緒にいてくれてありがとうだよ!!",https://x.com/yamamoto__rio/status/1374346977178054658
1374344645375758341,reply,2021-03-23,Tue Mar 23 12:57:52 +0000 2021,1,4,200,,"@yamato__ao あお先輩本当に大好きですぅ
大好きなんです！この上なく！
遊びましょう！お泊まりしましょう！
ずっと仲良くしてくださいね！",https://x.com/yamamoto__rio/status/1374344645375758341
1374343990166704136,reply,2021-03-23,Tue Mar 23 12:55:15 +0000 2021,1,5,283,,"@nemoto_nagi ねも先輩ありがとうございました！
最初の頃ダンス全然覚えられなくてすみません…
でもあの言葉で頑張らなきゃって思えたので感謝しています！",https://x.com/yamamoto__rio/status/1374343990166704136
1374343589275176962,reply,2021-03-23,Tue Mar 23 12:53:40 +0000 2021,1,4,177,,"@yamato__ao あーお先輩！
ありがとうございました！
これからも一緒に遊びましょうね!!",https://x.com/yamamoto__rio/status/1374343589275176962
1374343371251085327,reply,2021-03-23,Tue Mar 23 12:52:48 +0000 2021,1,3,186,,"@kumamoto_marina ありがとうございました！
また推しのお話しましょうね！
優しくしてくれてありがとうございました!!",https://x.com/yamamoto__rio/status/1374343371251085327
1374343139683540993,reply,2021-03-23,Tue Mar 23 12:51:53 +0000 2021,1,5,246,,"@matoba_karin 黄盤の相方としてずっとありがとうございました！
自分らしさ貫いていきます！w
無理だけはしないでくださいね!!",https://x.com/yamamoto__rio/status/1374343139683540993
1374342862146465793,reply,2021-03-23,Tue Mar 23 12:50:47 +0000 2021,0,2,157,,"@nakamura_akari あかり先輩ありがとうございました！
ドラクエ本当に嬉しかったですw
一緒にゲームしたいたいです!!",https://x.com/yamamoto__rio/status/1374342862146465793
1374342530603511808,reply,2021-03-23,Tue Mar 23 12:49:28 +0000 2021,1,1,200,,"@tsurumi_moe もえ先輩ありがとうございました！
かき氷！行きたいです！今度美味しいところ連れていってください！",https://x.com/yamamoto__rio/status/1374342530603511808
1374342233873248260,reply,2021-03-23,Tue Mar 23 12:48:17 +0000 2021,1,3,190,,"@shimizu_riko りこ先輩ありがとうございました！
お世話になりました！👩‍👧
幸せになります？w",https://x.com/yamamoto__rio/status/1374342233873248260
1374341853244395522,reply,2021-03-23,Tue Mar 23 12:46:46 +0000 2021,1,3,218,,"@okada_ayame ライブ中一緒のダンスの時楽しかったです〜！
ホラーゲームしましょうね!!
ありがとうございました！",https://x.com/yamamoto__rio/status/1374341853244395522
1374341510758428687,reply,2021-03-23,Tue Mar 23 12:45:24 +0000 2021,2,6,262,,"@kataoka_miyu 来てくれてありがとうございました!!
人生素晴らしきしていきますw
にょめりんにゃんこ🐱",https://x.com/yamamoto__rio/status/1374341510758428687
1374210875817562113,tweet,2021-03-23,Tue Mar 23 04:06:19 +0000 2021,67,45,589,,"こんにちは!!
ついに今日だね！
楽しみ！
絶対いい日にする！
頑張ります！
マスクの下は笑顔だよー！",https://x.com/yamamoto__rio/status/1374210875817562113
1373988818450182146,tweet,2021-03-22,Mon Mar 22 13:23:56 +0000 2021,28,56,774,"https://pbs.twimg.com/media/ExFjhNiVkAAheT-.jpg
https://pbs.twimg.com/media/ExFjhNlVcAEJENi.jpg
https://pbs.twimg.com/media/ExFjhOdUUAIIykZ.jpg",ﾁﾗ…(´ ・ω･)？ ,https://x.com/yamamoto__rio/status/1373988818450182146
1373627234792054784,tweet,2021-03-21,Sun Mar 21 13:27:08 +0000 2021,27,50,658,"https://pbs.twimg.com/media/ExAarC6UUAE4rfw.jpg
https://pbs.twimg.com/media/ExAarC3VEAUQEQ2.jpg",むい( ́•ૢ൧•ૢ ̀) ,https://x.com/yamamoto__rio/status/1373627234792054784
