id,type,date_created,date_created_full,reply_count,retweet_count,like_count,media,full_text,link
1752704698631790716,tweet,2024-01-31,Wed Jan 31 14:45:38 +0000 2024,145,190,1872,,"私の虹コン人生はこれにて終了でござる！
出会ってくれた皆さん本当にありがとう
私を推してくれたみんなのこと、みんなとの思い出、一生忘れない！ずっと大好き( ˶  ᷇ 𖥦  ᷆ ˵ )
そしてこれからは私も虹コンだいすきマン😤
とても虹コン大好きだー🌈♡またねー！",https://x.com/yamasaki_nana/status/1752704698631790716
1752489030531625107,tweet,2024-01-31,Wed Jan 31 00:28:39 +0000 2024,23,72,829,,"おはよう〜このアカウントは本日までです😭
そして今日の夜、私を推してくれた方にとにかく感謝を伝えたい配信をしたいと思います！(文字にしたいけどまとまらないので喋ることにした)
21時くらいにしようと思ってる！
最後のエールライブになるよ！時間あったらきてね〜( ´ ▽ ` )ﾉ",https://x.com/yamasaki_nana/status/1752489030531625107
1751196332088529324,tweet,2024-01-27,Sat Jan 27 10:51:55 +0000 2024,28,93,786,"https://pbs.twimg.com/media/GE1_x8RbAAAXcVc.jpg
https://pbs.twimg.com/media/GE1_x8ObkAAFOdH.jpg","最後にブログかいたよ〜もう書くことないだろう
暇だよって人読みなさい( ˶  ᷇ 𖥦  ᷆ ˵ )
↓

 ",https://x.com/yamasaki_nana/status/1751196332088529324
1750861972009292139,tweet,2024-01-26,Fri Jan 26 12:43:18 +0000 2024,19,61,1001,"https://pbs.twimg.com/media/GExPrRRaIAAbzkw.jpg
https://pbs.twimg.com/media/GExPrRDaUAAKe-_.jpg",,https://x.com/yamasaki_nana/status/1750861972009292139
1748292078168338901,tweet,2024-01-19,Fri Jan 19 10:31:27 +0000 2024,16,59,747,"https://pbs.twimg.com/media/GEMuXkqbQAAv1DT.jpg
https://pbs.twimg.com/media/GEMuXkraMAA883s.jpg
https://pbs.twimg.com/media/GEMuXkqbIAAa0gw.jpg
https://pbs.twimg.com/media/GEMuXlCa8AA2WzW.jpg",お花かわいかった💐ありがとうー♡ ,https://x.com/yamasaki_nana/status/1748292078168338901
1746473154560852005,tweet,2024-01-14,Sun Jan 14 10:03:42 +0000 2024,9,4,221,,"チェキチャありがとうーー！！
ほんとにみんなとお話できて幸せだった！いっぱい嬉しい言葉言ってくれてありがとう🥲♡
みんなとお話できるのが日々の楽しみになってたし全部楽しい思い出ー！
いっぱいお話してくれてありがとう😭宝物😭✨",https://x.com/yamasaki_nana/status/1746473154560852005
1745088944901886127,tweet,2024-01-10,Wed Jan 10 14:23:21 +0000 2024,89,178,1607,"https://pbs.twimg.com/media/GDfNJEuWcAAaUJ4.jpg
https://pbs.twimg.com/media/GDfNJEwWAAA1DoC.jpg","マイレージラブツアーファイナル、
そして虹コン最後のライブ
本当にありがとうございました！！
虹コンのライブ大好きだから、虹コンとしていっぱいライブできて幸せだった！

加入した頃はもっと後ろの番号だったけど、7番マイクで終わりました！
7番マイクお気に入りだった😚⭐️ ",https://x.com/yamasaki_nana/status/1745088944901886127
1744918794580189472,tweet,2024-01-10,Wed Jan 10 03:07:14 +0000 2024,20,8,218,,"おはよーー\( ˙▿˙ )/
気をつけてきてね〜たのしみ！！",https://x.com/yamasaki_nana/status/1744918794580189472
1744281045611196671,tweet,2024-01-08,Mon Jan 08 08:53:03 +0000 2024,25,8,160,,本日の生放送とチェキチャをお休みさせて頂くことになりました。直前のお知らせとなり申し訳ありません😭よろしくお願いします。,https://x.com/yamasaki_nana/status/1744281045611196671
1743954744673231109,tweet,2024-01-07,Sun Jan 07 11:16:26 +0000 2024,21,36,563,"https://pbs.twimg.com/media/GDPFlraacAE7jd9.jpg
https://pbs.twimg.com/media/GDPFlraaYAA2OOH.jpg
https://pbs.twimg.com/media/GDPFlrbacAAEVh3.jpg","個別撮影会サイン会、ありがとうございました！
会いに来てくれて嬉しかったよー( ；꒳； )
みんなとお話した時間大切な思い出！
本当に会いに来てくれてありがとう

どの衣装もカワイイ😽♡♡♡ ",https://x.com/yamasaki_nana/status/1743954744673231109
1743786880494453046,tweet,2024-01-07,Sun Jan 07 00:09:24 +0000 2024,9,3,119,,"おはよ〜\( ˙▿˙ )/
本日は個別撮影会！みんなとこうやって近い距離で話せるのは最後だ〜( ；꒳； )
やりたいポーズなどあったら撮る時言ってください！☺️",https://x.com/yamasaki_nana/status/1743786880494453046
1741461164402643114,tweet,2023-12-31,Sun Dec 31 14:07:51 +0000 2023,19,37,624,"https://pbs.twimg.com/media/GCrpsKXaUAAAHG-.jpg
https://pbs.twimg.com/media/GCrpsKSboAACMC1.jpg
https://pbs.twimg.com/media/GCrpsKRbkAE4dVW.jpg
https://pbs.twimg.com/media/GCrpsKKboAAhqHt.jpg","今年もみんながいたから頑張れたよ、ありがとう
メンバーとの写真いっぱい♡ ",https://x.com/yamasaki_nana/status/1741461164402643114
1739973800354279623,tweet,2023-12-27,Wed Dec 27 11:37:35 +0000 2023,7,0,84,,"チェキチャお話してくれてありがとうー😭良いお年をできてよかった！話せて嬉しかったありがとう😭♡
あと1回チェキチャできそうなのでそれがラストチェキチャになるよ！！
最後のライブまであと2週間らしい😭うわーん！
寒いから暖かくしてねえ🍵🍵",https://x.com/yamasaki_nana/status/1739973800354279623
1739128288629629418,tweet,2023-12-25,Mon Dec 25 03:37:50 +0000 2023,4,8,129,,"ANAさんのYouTubeチャンネルにわたくし登場しております✈️
CAさんと未鈴さんと美容トークをしました💄♡
いっぱいお話できてたのしかった〜！ぜひ見てね( ˶  ᷇ 𖥦  ᷆ ˵ )",https://x.com/yamasaki_nana/status/1739128288629629418
1738829239108186122,tweet,2023-12-24,Sun Dec 24 07:49:31 +0000 2023,9,2,101,,"クリスマス特典会来てくれた方ありがとう🎄🎄
こうやってクリスマスイブにみんなに会えて嬉しかったー♡サンタ可愛かったー？
サンタの写真は今日の配信のマイイベにする！🎅",https://x.com/yamasaki_nana/status/1738829239108186122
1738170305603104828,tweet,2023-12-22,Fri Dec 22 12:11:09 +0000 2023,12,13,172,,"1/10(水)ツアーファイナルzepp羽田のリハしてきたよー！
この日が本当に最後の虹コンのライブ、、😭実感わかないよー😭
この日が過ぎたらこうやってみんなとレッスンすることもなくなるのかあ〜考えられない！
会いに来てくれたら嬉しいよ( ；꒳； )🩵",https://x.com/yamasaki_nana/status/1738170305603104828
1737072202934280526,tweet,2023-12-19,Tue Dec 19 11:27:41 +0000 2023,2,7,110,https://pbs.twimg.com/media/GBtR9NOaIAAZY0p.jpg,"#gsこえけん 活動報告会ありがとうございました🎅
みんなでクリスマスパーティーたのしかったね〜🐑ケーキ🎂
そして放送でもお知らせした通り、
G's活動報告会は来月1月8日の放送でラストとなります😭
約1年とっても楽しかったー！ラストもみてね♡
今日のアーカイブ↓
 ",https://x.com/yamasaki_nana/status/1737072202934280526
1736362896832319871,tweet,2023-12-17,Sun Dec 17 12:29:09 +0000 2023,13,23,340,"https://pbs.twimg.com/media/GBjM0KSagAA1e99.jpg
https://pbs.twimg.com/media/GBjM0KNaUAA5FwT.jpg","毎日がクリスマスありがとうございました🎅
会いに来てくれてありがとうねえ( ；꒳； )
2023年ライブ納めだたよ！そしてついにライブ残り1回となった、、、！
みてーキリンさんからクリスマスプレゼントを頂いたよ🎁クラフトビール🎁やった〜
#毎日がクリスマス
#お酒は20歳になってから ",https://x.com/yamasaki_nana/status/1736362896832319871
1736000098574970948,tweet,2023-12-16,Sat Dec 16 12:27:31 +0000 2023,24,70,862,https://pbs.twimg.com/media/GBeC2nJbYAAo8Z2.jpg,"美味いもの征服ツアーファイナルありがとうございました🍚
新衣装かわいーすぎる🥹🥹🥹🥟🩵
ペンライト振ってくれてありがとう会いにきてくれてありがとうーーー(⸝⸝⸝ᵒ̴̶̷̥́ ⌑ ᵒ̴̶̷̣̥̀⸝⸝⸝) ",https://x.com/yamasaki_nana/status/1736000098574970948
1735847232547746247,tweet,2023-12-16,Sat Dec 16 02:20:05 +0000 2023,12,2,116,,"おはよう〜〜
本日 #虹コン食欲ツアー 東京公演！
ライブ残り3回だ(⸝⸝⸝ᵒ̴̶̷̥́ ⌑ ᵒ̴̶̷̣̥̀⸝⸝⸝)がんばるまん！
ペンライトとタオルあったら見つけやすいよろしくだよ💎❄️🩵︎︎

あと今日21時〜ツアー東京マルシェ出しやす
",https://x.com/yamasaki_nana/status/1735847232547746247
1733432930138194008,tweet,2023-12-09,Sat Dec 09 10:26:30 +0000 2023,6,1,76,,"チェキチャお話しに来てくれたみんなありがとう☺️🩷今日も話せて嬉しかったあ〜
次回は12月17日👍",https://x.com/yamasaki_nana/status/1733432930138194008
1732719979794198856,tweet,2023-12-07,Thu Dec 07 11:13:30 +0000 2023,3,13,293,,😭😭😭🩵🩵🩵,https://x.com/yamasaki_nana/status/1732719979794198856
1732360481468489743,tweet,2023-12-06,Wed Dec 06 11:24:59 +0000 2023,18,17,274,,"最後の #コレラジ ありがとうございました！
約5年間本当にお世話になりました😭
私はあんまり言葉を上手く話せないけど、お話することは好きだから毎回とても楽しかったです( ˶  ᷇ 𖥦  ᷆ ˵ )
これからは引き続きあお先輩とめめちゃん結花ちゃんがコレラジを引き継いでくれます！！",https://x.com/yamasaki_nana/status/1732360481468489743
1731971370496503986,tweet,2023-12-05,Tue Dec 05 09:38:47 +0000 2023,5,6,92,,"明日 #コレラジ ラスト😭😭😭
お便り待ちしております😭😭😭",https://x.com/yamasaki_nana/status/1731971370496503986
1731200029606752676,tweet,2023-12-03,Sun Dec 03 06:33:45 +0000 2023,7,1,75,,"チェキチャきてくれたみんなありがとう(；▽；)お話できてうれしかたー😚
次のチェキチャは12/9(土)18時〜だよん！",https://x.com/yamasaki_nana/status/1731200029606752676
1730590989860077928,tweet,2023-12-01,Fri Dec 01 14:13:39 +0000 2023,19,34,517,"https://pbs.twimg.com/media/GARLR1naYAAIBWm.jpg
https://pbs.twimg.com/media/GARLR1qasAALzM0.jpg","#マイレージラブツアー 茨城公演ありがとうございました！
最後の遠征だったよ😭
いっぱい会いにきてくれてありがとうー😭♡
今日はサイドポニーした！どう！！ ",https://x.com/yamasaki_nana/status/1730590989860077928
1730433574132916638,tweet,2023-12-01,Fri Dec 01 03:48:08 +0000 2023,9,3,142,,"おはよう〜\( ˙▿˙ )/
本日は #マイレージラブツアー 茨城公演！
なんと私最後の遠征らしい！ひえー！
チケット完売ありがとうございます！水戸たのしもー☺️",https://x.com/yamasaki_nana/status/1730433574132916638
1728658164009308600,tweet,2023-11-26,Sun Nov 26 06:13:17 +0000 2023,8,3,99,,"チェキチャありがとうー😭お話できて嬉しかったよー😭♡ウオン

当たり前のようにできてたチェキチャも残り4回になってしまった、、
タイミング合う時まってるね！みんなと色んなお話したい(；▽；)
予定↓
12/3(日)14時〜、12/9(土)18時〜、12/17(日)10時〜、12/27(水)19時〜",https://x.com/yamasaki_nana/status/1728658164009308600
1728396057426485491,tweet,2023-11-25,Sat Nov 25 12:51:46 +0000 2023,16,41,704,"https://pbs.twimg.com/media/F_x_C-NacAEF39f.jpg
https://pbs.twimg.com/media/F_x_C-NaMAAAOlu.jpg","ツアー名古屋ありがとうございました🩷🎶
虹コンのメンバーとして名古屋にくるのは今日で最後だったよーー😭
実は名古屋でチャンスと名付けられそこから今のいろんな呼び方が生まれたから名古屋思い入れ深い！名古屋いっぱいきた！名古屋すきだ！

アイドルツインかわいいか！ ",https://x.com/yamasaki_nana/status/1728396057426485491
1728054790616432928,tweet,2023-11-24,Fri Nov 24 14:15:42 +0000 2023,7,3,110,,"明日は #虹コン食欲ツアー 名古屋✊
ライブ残り5回まじで気合い入れていきます‼️( -᷅_-᷄ )
みんなに会えるの楽しみだよ！！本当に！！！たのしもーーーーー！！！！",https://x.com/yamasaki_nana/status/1728054790616432928
